"f_42-2",":0",":1",":2"
-1.1445,-1.2222,0.41317,0
-1.1527,0.98265,0.84664,0
-1.1383,-1.2704,0.15382,0
-1.1449,0.50437,-1.1918,0
-1.1471,0.7834,1.0182,0
-1.1548,1.3025,-0.11388,0
-1.1718,-0.053298,1.3457,0
-1.1589,0.03576,1.314,0
-1.0901,-0.84675,0.81873,0
-1.2664,1.2016,1.1318,0
-1.2659,1.6587,-0.16054,0
-1.2805,1.7366,-0.098351,0
-1.2773,1.7217,0.0002442,0
-1.2591,-0.95458,-1.3615,0
-1.2735,-0.93971,-1.4601,0
-1.2701,-0.84689,-1.4965,0
-1.2646,1.0011,1.3032,0
-1.2793,0.98617,1.4018,0
-1.275,0.89334,1.4382,0
-1.2596,0.64182,-1.524,0
-1.2744,0.73465,-1.5604,0
-1.2707,0.8126,-1.4983,0
-1.2571,-1.6268,0.20092,0
-1.2717,-1.7048,0.13875,0
-1.2668,-1.6899,0.04015,0
-1.2847,1.0789,1.3652,0
-1.2028,-0.81399,1.1804,0
-1.2791,1.1867,1.2304,0
-1.1109,-0.75048,-0.97779,0
-1.1268,-0.84329,-0.94137,0
-1.2817,0.15118,1.7289,0
-1.2772,0.24365,1.6929,0
-1.1183,1.2244,-0.17574,0
-1.1361,1.2392,-0.27426,0
-1.2857,1.3867,1.0575,0
-1.2775,-1.7192,0.23682,0
-1.2803,-0.28428,1.7126,0
-1.2713,-0.36167,1.6518,0
-1.2898,-0.37723,1.7486,0
-1.2822,-0.45454,1.6881,0
-1.1198,-0.20918,1.2213,0
-1.28,-1.6695,0.49699,0
-1.0963,-0.29154,1.1571,0
-1.1285,-0.37993,1.1955,0
-1.2897,-1.7961,0.17668,0
-1.1085,1.2094,-0.07709,0
-1.2787,0.65543,-1.6208,0
-1.2912,0.74226,-1.6618,0
-1.1184,1.1201,0.51575,0
-1.2808,-1.5422,0.81871,0
-1.2742,-1.4668,0.88049,0
-1.2692,-1.5931,0.55892,0
-1.2868,1.2776,1.1936,0
-1.2344,-0.75117,1.3411,0
-1.2813,-0.70129,1.5982,0
-1.2774,-0.78063,1.5379,0
-1.2865,-0.62318,1.6603,0
-1.2796,0.40609,-1.7082,0
-1.2693,0.31484,-1.6738,0
-1.1254,-0.039928,1.2492,0
-1.0985,-0.65673,-1.0073,0
-1.1356,-0.642,-1.11,0
-1.1286,1.001,0.74856,0
-1.088,1.0326,0.54865,0
-1.2865,0.058357,1.7623,0
-1.275,-0.019952,1.703,0
-1.2788,-0.19646,-1.7497,0
-1.2748,-0.28998,-1.715,0
-1.2773,-1.0311,-1.4201,0
-1.2859,1.6137,0.68981,0
-1.2818,1.6312,0.59237,0
-1.2925,1.6025,0.79207,0
-1.2803,1.5098,0.82539,0
-1.2871,-1.6113,0.7589,0
-1.2787,-1.2297,-1.2517,0
-1.2683,-1.2473,-1.1536,0
-1.29,-1.2205,-1.3523,0
-1.2894,-1.0147,-1.5202,0
-1.2838,1.7473,-0.19757,0
-1.1171,-1.1442,0.47534,0
-1.0954,-1.1348,0.37391,0
-1.1115,0.053431,1.2156,0
-1.2848,1.7005,-0.45281,0
-1.2752,1.6249,-0.51792,0
-1.2944,1.7774,-0.38944,0
-1.2886,-0.20844,1.7679,0
-1.1045,0.91559,0.78695,0
-1.2873,-1.0265,1.447,0
-1.2878,-0.9476,1.5079,0
-1.2958,1.7336,-0.54973,0
-1.2852,1.6427,-0.61614,0
-1.0676,1.1315,-0.13927,0
-1.1106,0.41455,-1.1592,0
-1.0962,0.4895,-1.0933,0
-1.132,0.3389,-1.2226,0
-1.2897,-1.332,-1.2304,0
-1.2779,-1.3397,-1.1193,0
-1.2871,-1.6772,0.59619,0
-1.0501,-0.67253,-0.91562,0
-1.3023,1.7318,-0.66151,0
-1.2975,1.8337,-0.13932,0
-1.2925,0.97221,1.496,0
-1.2886,0.87697,1.5319,0
-1.1139,0.79964,0.92566,0
-1.0963,0.70419,0.95586,0
-1.02,-0.51404,0.96891,0
-1.0863,-0.47868,1.0682,0
-1.2934,-1.7621,0.4399,0
-1.2912,-1.5542,0.91391,0
-1.2853,-1.4775,0.9741,0
-1.2936,-0.80056,1.632,0
-1.1042,-1.1983,0.21649,0
-1.0891,-1.1798,0.1194,0
-1.2899,0.32567,-1.7861,0
-1.2785,0.2372,-1.7363,0
-1.1013,-0.58458,1.0507,0
-1.1389,-0.55082,1.15,0
-1.285,-0.1054,-1.791,0
-1.2727,-0.026562,-1.7262,0
-1.29,-0.014902,-1.8241,0
-1.2792,0.063038,-1.7586,0
-1.2955,-0.036999,1.8156,0
-1.2983,1.4962,1.0258,0
-1.2948,1.6542,-0.7166,0
-1.2757,1.5623,-0.67929,0
-1.2863,1.5752,-0.77616,0
-1.0687,-0.19789,1.1226,0
-1.01,1.0721,0.16117,0
-1.0859,1.1644,0.1173,0
-1.0892,1.1542,0.22087,0
-1.0077,-0.9511,0.52024,0
-1.0836,-0.99705,0.61101,0
-1.0907,-0.95136,0.69624,0
-1.0006,-0.39369,-1.0101,0
-1.0814,-0.37488,-1.1115,0
-1.0866,-0.28311,-1.1457,0
-1.1268,-0.35759,-1.2133,0
-1.0836,-0.46971,-1.0788,0
-1.0022,0.030559,-1.0829,0
-1.0801,-0.021604,-1.1699,0
-1.0841,-0.12579,-1.169,0
-1.1224,-0.081681,-1.2535,0
-1.1232,0.020584,-1.2562,0
-1.1318,-0.17659,-1.2606,0
-1.0069,0.71673,-0.8133,0
-1.0838,0.72953,-0.91481,0
-1.0865,0.65137,-0.97833,0
-1.085,0.80665,-0.84745,0
-1.1262,0.74252,-1.0118,0
-1.0024,-1.0829,-0.0071312,0
-1.08,-1.1659,-0.068988,0
-1.0797,-1.1546,-0.17069,0
-1.1202,-1.2418,-0.1343,0
-1.0135,0.53669,0.94261,0
-1.0884,0.5248,1.0465,0
-1.0875,0.43289,1.0859,0
-1.1266,0.50781,1.1396,0
-1.0014,0.24185,-1.0542,0
-1.0774,0.2062,-1.1467,0
-1.0852,0.090427,-1.1748,0
-1.1232,0.16804,-1.2437,0
-1.0141,0.23386,1.0633,0
-1.0877,0.1983,1.1533,0
-1.089,0.28621,1.137,0
-1.0193,0.031435,1.0938,0
-1.0052,-1.0378,-0.32937,0
-1.081,-1.0979,-0.40481,0
-1.0825,-1.0601,-0.50096,0
-1.0822,-1.1268,-0.32143,0
-1.1265,-1.1977,-0.3967,0
-1.0054,-0.83311,-0.7009,0
-1.0823,-0.93338,-0.70891,0
-1.0795,-0.98282,-0.63088,0
-1.0897,-0.88114,-0.78984,0
-1.1237,-0.97596,-0.79365,0
-1.0108,0.93009,-0.55914,0
-1.0866,1.0328,-0.55277,0
-1.0883,1.0792,-0.46174,0
-1.0916,0.98904,-0.64295,0
-1.0906,0.92647,-0.72774,0
-1.1321,1.0905,-0.63465,0
-1.1406,1.0467,-0.73565,0
-1.0136,1.0564,0.2616,0
-1.092,1.1328,0.32437,0
